model,brandid,imagefilename
Cube,22,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Evora,43,http://dummyimage.com/500x500.png/cc0000/ffffff
Galant,14,http://dummyimage.com/500x500.png/cc0000/ffffff
4Runner,9,http://dummyimage.com/500x500.png/5fa2dd/ffffff
RDX,51,http://dummyimage.com/500x500.png/dddddd/000000
Previa,100,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Countach,71,http://dummyimage.com/500x500.png/ff4444/ffffff
Escape,6,http://dummyimage.com/500x500.png/cc0000/ffffff
CR-Z,35,http://dummyimage.com/500x500.png/dddddd/000000
LS,93,http://dummyimage.com/500x500.png/cc0000/ffffff
GL-Class,46,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Equinox,18,http://dummyimage.com/500x500.png/dddddd/000000
X5,68,http://dummyimage.com/500x500.png/cc0000/ffffff
Blazer,34,http://dummyimage.com/500x500.png/dddddd/000000
Corvette,18,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Protege,22,http://dummyimage.com/500x500.png/5fa2dd/ffffff
Diamante,68,http://dummyimage.com/500x500.png/5fa2dd/ffffff
