id,name,desc,imagefilename
43,"Pfannerstill, Grady and Altenwerth",Contusion of thumb without damage to nail,http://dummyimage.com/134x197.jpg/dddddd/000000
44,"Batz, Nader and Legros",Displaced bimalleolar fracture of right lower leg,http://dummyimage.com/183x230.png/dddddd/000000
45,"Wunsch, Daugherty and Lebsack",Stenosis due to cardiac and vascular prosth dev/grft,http://dummyimage.com/148x166.png/dddddd/000000
46,Larkin-McKenzie,Contusion of left hand,http://dummyimage.com/219x186.png/5fa2dd/ffffff
47,"Williamson, Morissette and Denesik","Unsp mtrcy rider injured in clsn w unsp mv in traf, init",http://dummyimage.com/142x192.jpg/5fa2dd/ffffff
48,"Funk, Becker and Orn",Adolescent scoliosis,http://dummyimage.com/250x196.bmp/dddddd/000000
49,Feeney Group,"Displaced subtrochnt fx unsp femur, init for opn fx type I/2",http://dummyimage.com/215x213.bmp/5fa2dd/ffffff
50,West-Little,"Mtrcy pasngr injured in nonclsn trnsp acc nontraf, sequela",http://dummyimage.com/235x183.bmp/dddddd/000000
51,Ward-Mills,Dislocation of T8/T9 thoracic vertebra,http://dummyimage.com/195x165.png/dddddd/000000
52,Schuppe Inc,"Oth disrd of amniotic fluid and membranes, second trimester",http://dummyimage.com/119x164.jpg/5fa2dd/ffffff
53,Moen and Sons,"Poisoning by emetics, intentional self-harm, subs encntr",http://dummyimage.com/154x205.jpg/cc0000/ffffff
54,Treutel-Dach,"Unsp injury of blood vessel of left little finger, sequela",http://dummyimage.com/202x183.bmp/dddddd/000000
55,Kuhn LLC,"Contracture, hip",http://dummyimage.com/156x135.png/cc0000/ffffff
56,O'Keefe-Padberg,Obstructed labor due to shoulder presentation,http://dummyimage.com/246x145.jpg/dddddd/000000
57,Bahringer-Erdman,Nondisplaced fracture of body of right talus,http://dummyimage.com/234x246.bmp/dddddd/000000
58,Johnson-Grady,"Oth psychoactive substance use, unsp w psychotic disorder",http://dummyimage.com/204x211.bmp/5fa2dd/ffffff
59,Marvin-Bernhard,Laceration w foreign body of right thumb w/o damage to nail,http://dummyimage.com/221x224.bmp/cc0000/ffffff
60,Gusikowski and Sons,Oth disturbances of temperature regulation of newborn,http://dummyimage.com/151x207.bmp/cc0000/ffffff
61,Smitham-Larkin,"Unspecified sprain of unspecified toe(s), initial encounter",http://dummyimage.com/236x135.png/cc0000/ffffff
62,Ullrich and Sons,"Unil femoral hernia, w obst, w/o gangrene, not spcf as recur",http://dummyimage.com/109x250.bmp/dddddd/000000
63,Dooley-Hamill,"Unspecified injury of bronchus, bilateral, initial encounter",http://dummyimage.com/115x180.png/ff4444/ffffff
64,Brown-Hauck,"Other acute osteomyelitis, right ankle and foot",http://dummyimage.com/195x120.png/cc0000/ffffff
65,"McClure, Stanton and Cummings","Displ longitud fx left patella, subs for clos fx w malunion",http://dummyimage.com/139x233.bmp/cc0000/ffffff
66,Douglas Inc,"Corrosion of second degree of left foot, initial encounter",http://dummyimage.com/100x221.png/ff4444/ffffff
67,Beier-Roob,"Partial traumatic amp at level betw left hip and knee, init",http://dummyimage.com/215x143.jpg/cc0000/ffffff
68,Trantow-Jacobs,Struck by football,http://dummyimage.com/172x202.png/cc0000/ffffff
69,"Legros, Weber and Hoeger","Sprain of tibiofibular ligament of left ankle, subs encntr",http://dummyimage.com/148x175.jpg/5fa2dd/ffffff
70,Reynolds LLC,"Unspecified nonsuppurative otitis media, unspecified ear",http://dummyimage.com/193x175.jpg/dddddd/000000
71,Sauer LLC,"Displ artic fx head of l femr, 7thR",http://dummyimage.com/141x131.bmp/dddddd/000000
72,"Barton, Simonis and Sporer","Insect bite (nonvenomous) of anus, sequela",http://dummyimage.com/178x212.png/cc0000/ffffff
73,Miller-Stark,"Drug/chem diab w prolif diab rtnop with comb detach, r eye",http://dummyimage.com/217x221.jpg/dddddd/000000
74,Ryan and Sons,Long term (current) use of anticoagulants,http://dummyimage.com/206x159.png/ff4444/ffffff
75,Ondricka and Sons,"Poisoning by glucocort/synth analog, intentional self-harm",http://dummyimage.com/120x227.png/ff4444/ffffff
76,"Hessel, Hansen and Jerde","Oth injury due to oth accident to unpowr wtrcrft, subs",http://dummyimage.com/154x229.png/cc0000/ffffff
77,Reilly-Lemke,"Disp fx of lateral end of r clavicle, subs for fx w malunion",http://dummyimage.com/223x143.bmp/dddddd/000000
78,"Nolan, Hagenes and Heaney","Disp fx of distal phalanx of l rng fngr, init for opn fx",http://dummyimage.com/109x114.png/dddddd/000000
79,Weber-Feil,"Oth physl fx low end rad, r arm, subs for fx w routn heal",http://dummyimage.com/250x136.png/5fa2dd/ffffff
80,Kertzmann Inc,"Traumatic arthropathy, other specified site",http://dummyimage.com/151x178.jpg/dddddd/000000
81,"Hermann, Grant and Sauer","External constriction, unspecified ankle, initial encounter",http://dummyimage.com/225x174.bmp/5fa2dd/ffffff
82,"Gleason, Hettinger and Emard",Other anterior dislocation of right hip,http://dummyimage.com/186x221.png/dddddd/000000
83,O'Keefe Inc,"Inj prph nerve(s) at abd, low back and pelvis level, sequela",http://dummyimage.com/107x151.jpg/ff4444/ffffff
84,Towne-Hand,"Foreign body in left ear, subsequent encounter",http://dummyimage.com/238x162.bmp/dddddd/000000
85,"Heller, Kshlerin and Von",Labor and delivery complicated by other cord complications,http://dummyimage.com/130x214.png/5fa2dd/ffffff
86,"Quigley, Bradtke and Gorczany",Encounter for reversal of previous sterilization,http://dummyimage.com/136x122.jpg/dddddd/000000
87,"Homenick, Fadel and McKenzie",Pnctr w fb of back wall of thorax w penet thoracic cavity,http://dummyimage.com/214x249.png/cc0000/ffffff
88,"Zulauf, Funk and Erdman",Encounter for exam for admission to educational institution,http://dummyimage.com/213x222.bmp/dddddd/000000
89,"Bartell, Daugherty and Murazik","Occup of pk-up/van inj pk-up truck, pk-up/van in traf, subs",http://dummyimage.com/121x180.jpg/cc0000/ffffff
90,Will Group,"Laceration of peroneal artery, left leg, sequela",http://dummyimage.com/119x157.jpg/5fa2dd/ffffff
91,Bednar Group,"Adhes due to fb acc left in body fol kidney dialysis, sqla",http://dummyimage.com/133x118.bmp/cc0000/ffffff
92,"Dooley, Auer and Mueller","Machinery accident on board merchant ship, subs encntr",http://dummyimage.com/130x178.jpg/dddddd/000000
93,"Price, Hane and Gutmann","Complete traumatic trnsphal amputation of r mid finger, init",http://dummyimage.com/162x135.jpg/dddddd/000000
94,Hand-Gutkowski,"Corrosion of third degree of unsp toe(s) (nail), sequela",http://dummyimage.com/128x117.png/ff4444/ffffff
95,Gaylord and Sons,"Poisoning by antidotes and chelating agents, acc, subs",http://dummyimage.com/103x217.png/cc0000/ffffff
96,Jakubowski LLC,"Age-related osteopor w current path fracture, unsp hand",http://dummyimage.com/214x129.png/cc0000/ffffff
97,"Roob, Rohan and Weissnat","Toxic effect of chlorine gas, accidental, init",http://dummyimage.com/230x172.jpg/ff4444/ffffff
98,Hickle-Goodwin,"Maternal care for hereditary disease in fetus, oth",http://dummyimage.com/218x159.jpg/ff4444/ffffff
99,"Hegmann, Herman and Rohan","Person on outside of military vehicle injured in traf, subs",http://dummyimage.com/163x107.jpg/dddddd/000000
100,"Spencer, Miller and Toy","Bent bone of right ulna, subs for clos fx w routn heal",http://dummyimage.com/208x192.png/dddddd/000000
